userName,score,content
ARYA W SULTAN,5,𝑜𝑘𝑒 𝑎𝑝𝑙𝑖𝑘𝑎𝑠𝑖 𝑦𝑎👌 𝑏𝑎𝑔𝑢𝑠 𝑏𝑎𝑛𝑔𝑎𝑡 𝑡𝑎𝑝𝑖 𝑖𝑛𝑖 𝑘𝑎𝑙𝑜 𝑑𝑜𝑤𝑛𝑙𝑜𝑎𝑑 𝑠𝑒𝑑𝑖𝑘𝑖𝑡 𝑙𝑎𝑚𝑏𝑎𝑡 𝑏𝑖𝑠𝑎𝑙𝑎 𝑖𝑡𝑢 𝑢𝑝𝑑𝑎𝑡𝑒 𝑏𝑖𝑎𝑟 𝑐𝑒𝑝𝑒𝑡 𝑑𝑜𝑤𝑛𝑙𝑜𝑎𝑑 𝑦𝑎 💨❤❤❤❤
maz fido,1,"kenapa akun saya selalu keluar sendiri? saya masuk pakai nomer TLP. waktu saya ingin rubah sandi karena lupa, susah dapat SMS kode nya"
Rizki Rizart,5,"weTV paling mantap pokoknya, apalagi ada fitur tukar poin untuk VIP, semoga yang beginian di pertahankan terus 👍🏻"
Hera Wati,5,seru bgt keren
Stefania Maria B. Seno,5,WeTv sanggat bagus untuk hiburan TIAP HARI
Agus Alimu (Agus),3,ada beberapa hal yang saya keluhkan di update kali ini ; 1. Tulisan Untuk text dialog punya spasi yang cukup jauh antara atas dan bawah. 2. Mode Landscape yang cukup mengganggu 3. Ketika pemutaran film/ataupun series lainnya untuk memajukan video beberapa detik tidak bisa 4. Di mode pengaturan ada beberapa pilihan yang tidak bisa di pilih ketika di klik 5. Walaupun sudah di setting ke resolusi 1080p tetapi ketika pemutaran film kembali ke resolusi 270p. Mohon untuk di tindaklanjuti hal ini.
Asmadelita 2021,4,knpa saya tidak bisa download apk ini
Agung Maulana,1,gambar nggak muncul di apk lambat
Selvy R,4,Kerennn
Rio Haru,5,tempat menonton donghua yang mantap
Dicky,1,iklannya sangat banyak Dan berturut turut. baru di awal nonton 4 iklan terus tiba tiba muncul lagi 4 terus sekitar 1 menit setelahnya muncul lagi 4 iklan terus sekitar 2 menit setelahnya muncul lagi 4 iklan!!!
Adell,3,Dulu gak begitu banyak iklan eh sekarang banyak bangeetttt
Rohipah Ipah,2,iklan terus
Parajakian Nah 15,1,"Aplikasi sampah gini doang susah banget otpnya pakai chapta sfala smpai habis waktu ,app sampah emang bikin ribet ,mnding sklian aja gk udah dibikin app kyngini"
Nlw Imiku,5,Aplikasi bagus tapi vip nya gak lagi pakai coin jadi susah Balikin vip coni supaya lebih baguss
Saverinus Saverinus10,3,mantap
Aisya,1,"saya udah berhenti berlangganan, selama sebulan gaada dipotong biaya langgananny, eh malah bulan ke 3 tiba2 shopee pay saya kepotong otomatis dan masih berlangganan. aku ga ngerti gmna konsepnya. pdhl aku udh gapake app ini. tapi tiba2 saldoku kepotong. giliran aku coba log in lagi buat nikmatin langganan nya biar ga cuma2 malah susah banget log in nyaa"
Edy Lim,4,"saya VIP berlangganan sampai tgl 13 mei 2025 tapi tgl 10 April 2025 sudah tidak aktif ,terus bagaimana?"
Kitt Katt,1,"udah langganan vip tapi lambat update eposode terbaru, yang lain udah ada episode terbaru, cuman wetv yang masih belum update"
Ali Wafi,4,vip
Mario Vino,5,👍👍👍
Fiah VV,4,"Kenapa sekarang filmnya nggak bisa dipercepat atau diulang 10 detik sebelumnya ya? Posisi otomatis langsung ke landscape juga. Agak kurang nyaman dengan setelan barunya, tolong diperbaiki.🙏🏻"
EF BOSS,1,"film cuma 1 doang yang bagus,"
John salam,1,"Entah aplikasi apa ini,gak ada satupun film yang dicari muncul,aplikasi sampah"
Pace Yulewa Yulewa,5,mantap
Napisa Napisa,3,"halo mimin, saran nih min, diaku aplk Nya suka keluar sendiri,trs ngelag gtu pdhl memo aku gk penuh min, tp it's okay sukses selalu Good job"
piii,4,bagusss sekali cuma ada sedikit pertanyaan kok episode boruto ga lengkap yaa😞😞😞
Merry Patty,1,Karena saya sedang nonton tiba tiba di suruh gabung dengan anggota VIP padahal saya nggak mau
Arss 05,3,"saya akan memberikan 3 bintang terlebih dahulu karna ad perubahan di salah 1 donghua dengan uptade cukup cepat ""walaw masih tertinggal beberapa episone dari aplikasi atau web lain. namun masih banyak donghua lain yg masih tertinggal cukup jauh. saya akan menaikan penilayanya saya bila ada kemajuan di aplikasi WeTV ini dan saya juga berharap ada lebih banyak lagi donghua di aplikasi WeTV agar dapat mempermudah akses untuk menonton donghua."
Ika Nuraeni,3,"kurang lengkap minnn..tambahin film""indo dong kek serigala terahir 2"
Disti Az-Zahra,5,bguss bgtttt
Samsiar Samsiar,5,mantap apknya sekarang sudah bisa. nonton donghua makasih banget
Rasya,4,bagus tpi gk banyak drama cina ya dan banyak iklan😑😑😑
Aqilah Nadhifa,5,"bagus bngt min, smoga wetv bisa smngkin berkembang🎉"
Astri Sulastri,3,"hai min, boleh minta tolong, itu iklannya kondisikam, ya Ampun gilak, sekali iklan 5 , udah lama nunggu, film baru sebentar iklan lagi 5, belum lagi kdg kadang udah lama nunggu tu 5 iklan, bukannya muncul film iklan lagi, astagah, bikin kapok🤡🤡🤯"
Rifda ameliatul hasanah,1,"ga suka sama tampilan barunya, film yg udah d donlod pun hilang"
Arif Hidayat,1,"paling males nyari rekomendasi teman yg judulnya diganti jadi bahasa Indonesia. aneh banget jadinya, mana tidak tau gambarnya yang mana"
Mey Ollshop,5,baik
Syaiful Lord Mobil,5,"saya berlangganan VIP, pas perpanjang tidak bisa."
N'AC Choeriyah,2,"Permisi, setelah di update 2025, kenapa tampilan jadi sulit, ngga bisa tampilan potrait, entah ada yang mau di ulang gimana caranya, susah susah susah...."
yayan kece,5,Bagus aplikasinya 👏
hery gunawan,1,ada apa dgn wetv..setelah update makin parah..mau ku uninstall
Sultan GT,1,"Pengen mampir ke Aplikasi yang satu ini, waktu beli langganan beberapa bulan lalu, internet benar-benar buruk. Aplikasi lain mendapatkan 3MB/s bukan 3Mb/s, namun di WeTV internet saya benar-benar tidak stabil (hanya mendapatkan kecepatan internet rata-rata 400-600KB/s) Itu benar-benar membuat saya mengalami kerugian, ketika saya mencoba contact sana sini, tidak ada penjelasan lebih lengkap, benar benar hancur wak🤣"
Sultan Sulaiman,1,Ada subtitle yang kurang pas
Sutrisno 75,5,mantap
Nata Ozawa,3,"Bagus sih berasa kayak nonton di tv, cuma saya kebingungan dengan update WeTV yg terbaru ini, yg dulu bisa dimundurkan dicepetin untuk nonton videonya sekarang enggak, saat nonton video biasanya juga ada screenshot, tempat untuk berkomentar, dan untuk mencerahkan layar sekarang enggak bisa gak tau tempatnya ada dimana."
Yahyah Nurdian,1,tolong iklan nya jangan kebanyakan soalnya menganggu banget iklan dan pas keluar kenapa gak bisa masuk lagi aneh wtv ini
Eko Sutiyono,5,Minta tolong donk di translate judul film/anime China yg muncul sebagai rekomendasi sebelum outro dr film selesai bingung nyari judulnya
Lidia dominika,5,selama ini baik-baik saja...
Dhiyaa Husaini,5,baguusss bgt
Ahmad Fadli (BIRBIR CIHUY),1,Kenapa di update tampilannya Harus banget miring sih ? malah gak bisa di cepetin filmnya aneh !! KECEWA UPDATE'AN KAYA GINI
Muhammad Rakgan,1,iklanya ga ngotak masa abis iklan iklan lagi mana iklan nya 9 lagi
Nggi Nggi,1,makin ribet
Vinn zz,5,bintang lima dah intinya mantep
Junior Febri,1,"kenapa update terbaru nya g jelas banget,ribet + subtitle nya g singkrong."
Wendi Woe,3,Secara gk lngsung di suruh ke VIP... Di penghujung episode gk bisa nonton... Harus menjadi VIP..
Toha makmun,1,iklan nya nggak ngotak
Lgi cri aynk 13,4,min kenapa fitur vid gratis nya di hilangin padahal bagus itu kalo tidak ada uang bisa dapet vid dengan ngumpulin koin nonton video iklan nga papa kuota taruhan
Arissan Jaya,1,tolong dong kebalik uang nya saya udah gak mau laggan eh malah di tarik sedih cok
Budiman Thiodono,5,Tontonan yang lengkap dan menghibur di hati.
Kendy Bagus,3,Ini aplikasi nya eror apa gimana Tiap log in nda pernah bisa..rugi lah VIP ku
Mezzaluna Almach,3,bagus sih suka dengan animasi cm tidak tamat endingnya gmn tidak tau kelanjutannyaa utk legenda para iblis dan dunia ajaib
Afrizal rizo,1,iklan nya banyak banget mana langsung dpt 4 iklan lagi maksa amat buat berlangganan
Nisvi Putri,5,bagus bangt
fauzan Alfiandi,2,5 iklan 1 video haha
furqon 234,1,kebanyakan iklan babi
Fahira Arini Asyila,1,ngak jelas. masa kode verifikasi ngak d kirim lewat no. WeTV ap in
Melly Abdul,2,"setelah update versi terbaru malah menjadi merepotkan!!!! susah banget, pengaturannya. teks nya lebih cepet keluar dari pada ucapan dalam dramanya. beranda aplikasinya juga aneh. ga ada bagus2nya!!! tetep versi aplikasi yg sebelumnya yg lebih bagus."
Yanti 18,5,"film"" nya bagus semuanya sy suka, tp knp suka keluar sendiri yaa di hp sy ini, tolong diperbaiki min aplikasinya"
Putra Buana,1,saya ingin bilang kenapa di saya selalu jaringan loading padahal pakai kuota dan jaringan stabil kenapa selalu mengganggu dengan keadaan loading/lag
Joao gusmao Soares,5,bagus sih TPI aku ga suka kalo ada VIP nya aku ga suka sekali
Tierra Zulfa Wijaya,1,"jelek banget, mau nyari film yg dicari gabisa.. JELEKKK BANGETTT"
Jonathan,3,Apikasi lemot parah dan sering tidak menanggapi.
Rafael Dark,1,disuruh download untuk versi lengkap. udah download sama aja cuplikan2 pendek
Mariska Utami,1,"apk jelek , batal berlangganan sblum tgl prpanjang nya malah dana tetap di tarik . !! minta pengembalian dana pun ga bisa!!!!"
Sukirno Sukirno,5,Goodd
suarni yunus,5,download ini untuk nonton top form 👅
Firman Syah,3,"Jujur untuk Update terbaru ini saya kecewa, seharusnya tampilan layar jgn dirubah, begitu masuk App langsung Widescreen, menu dipersulit, untuk search filmpun tidak bisa, dn juga video player tdk ada menu rewind & forward, dn juga menu subtittle jg tidak ada, bnyk sy lihat kekurangan, udh lebih bertahun2 pake ini app, tp update skr malah downgrade..tolong di kembalikan seperti semula tampilannya dong."
Amanda Oppo,1,sampah aplikasi ga jelas full iklan
Lidia Nurrachman,5,vip sudah aman
wulan kartika sari,5,Nice... 👍
riska wijayanti,5,bagus banget
efan Ridho ILLAHI,5,min mau tanya nonton nya gratis gak min?
Mawar Mawar,5,bagus
aufa ahmad,1,kenapa g bisa masuk!!!
Leon Xponsell,1,sudah di perbaiki malah makin burik aplikasi nya menu” sudah berubah gak jelas lagi aplikasi ini sangat” burik.?
Aisyah Shabanmaharani,5,amazing
Fardan Riski,5,"Gak bisa simpen di geleri ya video nya,😁😁"
nasya nafiaya,3,"Aplikasi ini bagus, tapi sering macet atau patah' saat sedang menonton, padahal jaringan internetnya bagus. Tolong perbaiki masalah ini agar pengalaman pengguna menjadi lebih lancar dan stabil."
Aisyah Herawati,1,"saya salah login menggunakan email, namun tidak bisa membatalkan akun. tolong diperbaiki."
Syafa Ramadhani,3,"terlalu banyak iklan, sebelum nonton udh ada iklan, waktu berjalan lima menit iklan, dan seterusnya begitu"
Arip Hidayat,2,ga ngotak banget sumpah iklannya
Muhsinin 45,2,sudah di update fiturnya berubah. vip saya gak bisa di buka.
Monik Widodo,5,"walo hidup gak seindah drama, tp hidup akan lbh indah dg WeTv"
Siti.RahmahKadir Meyhi,5,Aplikasi ini sangatlah membantu saya
Tirza Ghisella Nathasa,3,"Halo admin ini wetv emg gabisa full screen selayar penuh ya? kaya netflix, disney+, catchplay, dll yang bisa di zoom sampai mentok full layar? soalnya sedih bgt nonton nya masih ada bagian hitamnya walaupun udh full screen (gbs penuh selayar handphone). ga nyaman bangeett"
Okta Nurindah Sari,1,hallo ka kok bisa melakukan transaksi sendiri tanpa konfirmasi padahal mau berhenti langganan piv tapi malah otomatis saldo kepotong itu cara pulangkan saldonya lagi bagaimana min
Filda,2,"scroll tiktok lancar, buka ig lancar, giliran nonton di WETV ngelag betul padahal jaringan ga bermasalah😩"
abu nisa,1,pas sedang mencari drama Korea tiba tiba harus berlangganan VIP tolong diperbaiki ya aplikasinya.
Akhmad Ridwan,1,kak saldo saya terpotong kok bisa odhl saya ngak berlangganan tolong di kembalikan uang saya cuman tinggal itu
Suci Suci,5,ok
Njepull Sang,1,sedikit kurang komplit
Ali Latief,5,kenapa master mercy gak ada kelanjutan nya...tlg di bantu dong sama film yg lain nya kadang suka gak lanjut padahal kan berlanjut
Jihan Khumaira,1,"ng freez terus setiap mau nonton film suka keluar tiba tiba, jadi ga jadi terus nonton nya"
Samsung Tab,4,ini WETV indonesia plg gak konsisten dgn lanjutan serial anime nya...stellar tiap kamis tapi hari ini gak ada lanjutan nya...baru perpanjang VIP tahunan...uda begini....
Alena Mazaya,1,setiap saya mencari sesuatu yang saya ingin tonton pasti selalu tidak ketemu
shiva aw,5,sangat memuaskan kan
Minta Min,5,"saya sangat suka fitur2 nya saya berhap kedepan2 nya jangan di rubahkan lagi yang ini suda cukup mantap terimakasih '"":)"
Tiar Tiar,1,"lupa password, tapi kode verifikasi tidak pernah terkirim,,alhasil tidak bisa di buka dahh aplikasinya,, percuma jadi vip 👍👍"
Fitriyani Lutfhina,5,"pokoknya seru bngt nonton drama di wetv, and aku dpt VIP gratis loh dari pembelian data Telkomsel. Tapi mohon di perbanyak ya drama nya, soalnya drama atau film nya kebanyakan yang udah lama"
Harry Gablug,1,kebangetan iklanya
Hasbin Ahmad,5,"buat nonton donghua, seru!!"
Caruban Jaya,5,aplikasi ini bagus untuk menonton drama dan dinghua
Ucok Firman,1,susah buat verifikasi....padahal sudah berlangganan dr telkomsel....disuruh verikasi buat reset password tapi kode verifikasi nya gak pernah masuk....jadi gimana buat verifikasi nya...sudah di coba berkali kali padahal...
irsandi Satila,1,woy balikin duit crusshhh gua jing stengah aja gpp
Olivia Josefina,2,uang saya sudah kesedot 56.000 tapi VIP masih belum aktif
Vera Yrg13,5,okk mntep
Lee Arya,1,sangat jelek..kebanyakan iklan
Ardani “Ardani”,2,bagaimana caranya mengetahui akun mana yg akan dibayar
KHOIRUR ROZIQIN,4,"ampun minn😭🙏🙏 nyedot kuota nya deres bangettttt..!!!!! baru nonton 3 jam udah habis 5 GB.😭😅 tolong minnn,,,jangan boros² nyedot kuotanya.😭🙏"
Kartika Puji,1,"Video macet - macet melulu padahal VIP. Nyesel beli ekspres. Tiap kali disuruh periksa internet, seringnya resolusi DNS merah"
Galang,3,bagus untuk nonton film yang rekomendasi
Gesa Mahya,5,bagus banget
Tira Helfia,1,"tiba"" saldo dana saya ketarik seperti nya tidak sengaja kepencet fitur berlangganan nyaa, apakah bisa uang saya kembali"
Mmh I2n,5,"bagus, perfect, lengkap, wow impresif."
Reza Reza saputra,5,ni apk bagus tapi tambahin filem horornya dong min
Hapsi Hapsi,1,"iklan nya banyak bnget,mau nonton 1 eps aja harus nonton 5 iklan,blum lagi kalau iklan yg muncul pas lagi enak² nya nonton"
Cucu naisah Salsyabilla,5,aplikasinya ga mincul di henfon
deddy juanda,1,"apl jelek,, bikin ribet gk bergunan bagi saya"
Agus Sulistyo,5,"sangat menghibur dikala bosen dengan acara"" di tv 👍👍👍"
The Nine,2,tolong untuk yang melalui platform TV lebih dimaksimalkan lagi karena kadang suka lag saat sedang setting subtitle dan resolusi
Mochammad Syaifudin,1,semua vip bahkan film yg dulunya gratis..!!!!!
Keytrin Yosy,3,"saya udah bayar VIP tapi di akun saya VIP nya belum aktif giman ini saya udah bayar43 ribu rugi dong,tolong dong pihak we tv bantu."
Dara Arsyi,5,wow bagus banget apalagi ada drama cinta mati
Kageno,4,dari fitur oke cuma kurang lengkap animenya
Gazta Fano2,1,aneh banget padahal gw dah berhenti langganan VIP tapi tiap bulan di suruh bayar 43k
Elbima Mahardika,2,terlalu banyak iklan dan premium
Nisrina Sakhia,5,kapan my hero academia season 6 7 8 tayang min?aku udah season 5 nih janlup gratis ya♡
Rachel Simanjuntak,1,sebel deh aplikasinya tidak bisa di download!!!!
Jaya River,1,sangat buruk saya mau beli memperpanjang berlangganan vip tidak bisa
Wildan Mahmud,2,"aku malas nih sama We tv, padahal udah langganan emang sih nggak ada iklan tapi entah kenapa setiap kali melihat drama entah itu di menit menit pertengahan selalu lag dan nge freeze gitu, mau nggak mau aku harus keluar aplikasi masuk lagi baru deh bisa. ya kalik aja harus begitu mulu setiap freeze kan bikin bad mood apalagi pas lagi enak enak nya nonton. perbaiki dong nanti kalau udah aku kasih binta 5 nya deh. (tapi di aplikasinya malah bilang wifi ku yang tidak stabil? padahal lancar loh)"
asido bona,5,bagus
DZAKI MIFTAHURRAHMAN,2,ga ada animasi pulak
Suwarno,5,good
Suhardiman Utama,1,Iklannya kenapa gak sekalian saja 30 menit?
Affan Bayu fatulloh,5,kata orang bagus jadi bintang lima yaa
Amiluta Parmimarma,5,nobar gesss
Reina Lim,2,aku sudah langganan 3 bulan langsung saat mau masuk lagi gak bisa sama sekali selalu tulisan internet sedang gangguan
Novita Sulistiyowati,5,Sejauh ini aplikasinya aman dan bagus
IF_- AIDA SUCIA,1,"begini, beberapa aplikasi free yang saya gunakan, iklan nya tidak se astaghfirullah seperti ini, ini bener bener kayak 🫠, jadi saya mendownload hanya untuk vote saja, dan untuk menonton saya memilih jalur lain, mohon maaf saya sudah bilang sejak awal, tidak semua bisa mendaftar vip, mungkin dari saya memang bintang 2, tapi dari yang lain tenang saja, mereka rata-rata bintang 5 kan ya, jadi, terimakasih 🙏🏽, setelah saya pikir-pikir sepertinya lebih baik bintang satu saja, baiklah saya turunkan"
Alif afdzal Alif,5,bagus bangetttt
Hania Syakira,3,bagus tp ngelag
Faddyta Yuloe,1,"TOLONGLAH IKLANNYA JANGAN BRUTAL BANGET, SATU EPISODE BISA 10-15 IKLAN"
Peri Irawan,5,"Bintang 5 dr sya buat apk ini sudah sangat bagus, tambahan lagi animenya. Entah knpa semenjak donwload apk ini saya jd ketagihan nonton...!!! film nya seru2... sya paling suka nonton Anime seperti BTTH, Dunia persilatan dan banyak lagi yg lain...cerita berkultivasinya seru... dr awal yg tdk tau apa2 sampai menjadi Dewa yg hebat...sebagai saran: mohon episode nya dibanyakin 1 eps seminggu lama nunggu nya, keburu tua saya, bikin 3 atau 5 eps seminggu biar nonton makin seru..thanks buat apk nya"
Juni ansyah,5,"mantapp aplikasinya,bikin gampang nonton"
Muhamad Alvip,1,film gay doang tlolll bet ni aplkasi
Ohayo Ohay,4,good
CHANDRIKA KEJORA,1,"banyak iklan,belum 10mnt iklan lagi,gitu terus"
caca imuyyt,2,animenya g lengkap
IZ ZAH,5,aku harap wetv support tablet user..
Indi Juniati,1,"DANA SAYA TIBA""AJA KESEDOT PADAHAL GA NONTON APA APA MAAF YA"
unalova Putri,5,Apk bagus kalau bisa banyak gratis film drakornya drama Indo nya
Kenzxxml Official,1,"woy anjk resolusi aja harus vip !!! lo kira orang orang kaya ,sebagian ga mampu apalagi pelajar menurut gua ini aplikasi ok tapi bnyak minesnya bagusan bstation ada resulusinya dan satu lagi hp ga semua bagus ada juga pengguna kentang jadi paham kan ,gua juga bisa nyiptain aplikasi modelan we tv mudah ga bakala gue ribetin"
R'R Family,1,"kenapa waktu mau perbarui VIP malah gak bisa, cuma ada tulisan ""anda sudah berlangganan, jangan mengulangi berlangganan"" itu kenapa kayak gitu terus ?"
wulan sari,5,ok
Xdgsgv Xcgrs,3,"gatau HP saya gatau apa, setiap 5menit nonton drama pasti ngelag parah serta keluar. sudah saya coba untuk download ulang, udh di restart, hapus data, hapus change ttp aja kaya gitu pdhl awal' nya masih baik' aja, semuanya juga lancar tpi semenjak bulan ini wetv ngelag parah. ruang penyimpanan juga ga penuh, saya juga sudah mencoba apk lain dan tidak ngelag sama sekali"
Resti Betok,5,sangat bagus 😊😊😊😊😊😊
イヌン,3,saran aja sih perbanyak lagi film donghua nya yg terbaru-terbaru yg dah lama hapus aja
Taufika Rizvan,5,skrg dh kerren wesss
Naf SC,3,mau ganti email google kok gk bisa. tetep otomatis maqsuk ke gmail yg sebelumnya dipakek. padahal langganan vip pakek email lain. jadinya harus download ulang terus maauk lagi pakek gmail baru
zoyE,4,nt bad
Kaka SalvaTora,2,"Sudah VIP tapi kenapa nonton untuk jaringan HD nya sering lelet dan eror, sudah hapus smua cahce tapi tetap saja tidak bisa nonton HD."
Fira PubgMobile1,1,"ini aplikasi nyedot uang di Dana saya terus,padahal sudah lama saya hapus dah lama tetap aja nyedot uang di dana saya terus.aplikasinya gk pernah saya pakai dan sudah saya hapus tapi uanf didanan saya kesedot terus,saya lagi minta pengembalian uang dari ini aplikasi. enak aja maen nyedot uang orang seenaknya tanpa konfirmasi orangnya dulu. balikin duit saya gk mau tau pokoknya."
AYU Wilda Fitri,1,"banyak kali iklan nya, sekali iklan bisa sampai 5 bahkan lebih, bosok nungguin nya, 1 episode Bisa2 selesai 1 Minggu nonton nya karena banyak iklan 🤣"
Monica Chai,3,"siap buka video vip pasti langsung maksa ke shopee, udah hapus cache juga udah uninstall sesuai yang admin bilang masih gitu😭"
Anca,2,susah untuk melanjut VIP bikin pusing bikin yg simpel sja
Petani Premium,2,udah beli paket premium tapi masih ada iklan..... serasa percuma beli
Bacon Stupid,1,developer kebanyakan utung gaji buta
Kurniyadi,1,ga bisa di buka aplikasinya
Lovely Tasya,2,Saya tidak bisa berlangganan VIP dengan menggunakan email karena kadaluwarsa tetapi saya sudah melakukan pembayaran dan sukses. mohon solusinya
Siti Siti,5,jos buat nobar
MuhSPN,1,"apa coba dikit² iklan dikit² bayar, lu cepet naik haji apa gimana?? iklan nya bejibun lagi, sosial media lu banyak tapi ga ada 1 pun yg sampai selesai"
Rahma Atrianto,5,banyak drama lucu dan seru
V ia,5,sangat bagus
Ardi Sinaga,4,En eksyen bagus dan baik
Wedov dov,1,Aplikasi yang gak berguna gw udah pindah pindah bayarnya tetap gabisa kebayar udah sampe isi pulsa 100 rb tetap aja gabisa alesan eror lahh saldo gak cukup padahal udahh keluar banyak uang di suruh suruh langganan giliran mau bayar gak bisaa aplikasi jelekk gak guna
Yu Da,4,baik
Budak Firaun,1,"Film kurang lengkap sih.. bwt yg mau VIP mending platform lain.. eman"""
Pakcoy Black,4,"Sore Mimin. Mohon di perbarui lagi aplikasi nya min, soalnya menyedot paket data internet besar sekali. 3 jam kita nonton saja sudah hampir 3gb, nah videonya kan berseri sampai 300 seri, itu bisa² paket data 60gb gak sampe setengah BLN min 😁. Memang ada setelan untuk kualitas video tapi klo di bawah standar gambar langsung buram😁. Sedangkan di apk lain pemakaian data bisa kecil, baik di apk nonton ataupun game online. Saya kasi Bintang 4 ya min semoga di perbarui. Terima kasih 🙏"
Syahril,5,mantap gan iklan nya gak ngotak
Ted S.,3,VIP pun masih kena iklan 😂😂😂
Fitri Anggraeni,5,bagus banget
Daniel Official,1,"Saya mau komplain ,kmarin saya berlangganan dan saya berhentikan ,knapa awal bulan kmarin otomatis masih di potong dari Dana saya.."
p_ nuryasin,2,gak bisa full screen nonton nya gak enak
Riska Triyanic0m,5,"Bagusa ga nih kira kira apli kasi nya awas kalo jelek ,mna lama lgi menginyal nyaaaaaaaaaaaa😕"
Nurdin Nurdin,3,halo. kenapa saya tidak bisa perpanjangan langganan wetv di google play ?
Samsul Wakid,1,"Bangkek lama2 vip gak ada gunanya, sudah vip harus beli lagi per video buat nonton"
asyifa18 Lazuardi,5,App nya bagus
Xiao Dinyii,4,"kebanyakan iklan kak, baru juga video nya di mundurin udah iklan lagi"
Marianto Bondet,1,👎
Suprii Mc,5,film yg dubbing bahasa indonesia gak ada yg terbaru yaa?
Sulis Tiyo,3,"𝕔𝕖𝕣𝕚𝕥𝕒 𝕟𝕪𝕒 𝕓𝕒𝕘𝕦𝕤👍 𝕤𝕖𝕣𝕦 𝕕𝕒𝕟 𝕤𝕒𝕪𝕒 𝕤𝕒𝕟𝕘𝕒𝕥 𝕤𝕦𝕜𝕒 𝕤𝕠𝕒𝕝 𝕟𝕪𝕒 𝕞𝕖𝕟𝕒𝕣𝕚𝕜, 𝕛𝕦𝕘𝕒 𝕜𝕝𝕠 𝕟𝕠𝕟𝕥𝕠𝕟 𝕕𝕚𝕤𝕚𝕟𝕚 𝕘𝕖𝕣𝕒𝕥𝕚𝕤 𝕛𝕒𝕕𝕚 𝕤𝕖𝕣𝕦𝕦𝕦 𝕓𝕒𝕟𝕘𝕖𝕥𝕥, 𝕜𝕚𝕣𝕒𝟚 𝕕𝕚 𝕤𝕚𝕟𝕚 𝕓𝕒𝕪𝕒𝕣 𝕘𝕒𝕜 𝕤𝕠𝕒𝕝𝕟𝕪𝕒 𝕔𝕒𝕣𝕚 𝕪𝕒𝕟𝕘 𝕘𝕖𝕣𝕒𝕥𝕚𝕤"
cahyo store,1,"tolong di perbaiki lagi bug dalam aplikasi,seperti keluar sendiri mau nonton selalu keluar sendiri jadi ga nyaman untuk nonton mohon di perbaiki lgi dan semoga di baca 😊😇"
kepo lu,2,"woi min series Jojo kmn, kok hilang"
Lub Hariri,4,iklannya kurangin lah parah iklannya
amelsajah18 10,1,padahl sudah di hapus akun metode pembayaran dana tapi uang i dana saya di ambil terusss gimna sih????.
keatie alfina,1,"iklannya banyak bgt, aku mau nonton kelanjutan eps teluk alaska nya malah harus VIP, udahh tau aku lagi bokek malah di suruh bayar, harganya juga mahal"
Ferdi Fer,3,saldo saya terpotong sendiri
Umi Mkw,5,enak dan bagus bagus film nya🤗
Khairun Nisa,5,mantap
